,gap_id,is_fixed,percent_identity,query_start,query_end,query_length,query_alignment_length,target_start,target_end,target_length,target_alignment_length,total_bases_compared,mismatches,matches,total_length
0,7281993_379-1447,1,1.0,47.0,0.0,47,47,12.0,59.0,59,47,47,0,47,47
1,7384969_12219-13277,1,0.9545,0.0,22.0,22,22,0.0,22.0,22,22,22,1,21,22
2,7488804_861-1911,1,0.0,,,0,0,,,0,0,0,0,0,0
3,7352536_65-1087,1,1.0,0.0,27.0,27,27,0.0,27.0,39,27,27,0,27,27
4,7381106_6862-7882,1,1.0,0.0,63.0,63,63,0.0,63.0,63,63,63,0,63,63
5,7281310_5428-6449,1,0.9845999999999999,65.0,0.0,65,65,0.0,65.0,65,65,65,1,64,65
6,7506472_41193-42287,1,1.0,70.0,0.0,70,70,0.0,70.0,70,70,70,0,70,70
7,7406941_4180-5320,1,1.0,0.0,147.0,147,147,0.0,147.0,235,147,147,0,147,147
8,7388718_5171-6216,1,0.9843999999999999,0.0,64.0,64,64,0.0,64.0,64,64,64,1,63,64
9,7456676_1705-2871,1,0.9873000000000001,158.0,0.0,158,158,0.0,158.0,158,158,158,2,156,158
10,7489502_3397-4423,1,0.9821,56.0,0.0,56,56,0.0,56.0,56,56,56,1,55,56
11,7325484_412-1532,1,1.0,0.0,128.0,128,128,0.0,128.0,128,128,128,0,128,128
12,7239103_8011-9061,1,1.0,0.0,33.0,33,33,0.0,33.0,120,33,33,0,33,33
13,7260937_2945-4093,1,1.0,0.0,154.0,154,154,0.0,154.0,156,154,154,0,154,154
14,7281125_3571-4631,1,0.9773000000000001,0.0,44.0,44,44,0.0,44.0,44,44,44,1,43,44
15,7469502_7937-8971,1,0.0,,,0,0,,,0,0,0,0,0,0
16,7287080_1428-2461,1,0.0,,,0,0,,,0,0,0,0,0,0
17,7473884_3650-4715,1,0.9815,0.0,54.0,54,54,0.0,54.0,54,54,54,1,53,54
18,7490479_3575-4649,1,1.0,0.0,35.0,35,35,0.0,35.0,35,35,35,0,35,35
19,7456470_7692-8866,1,0.9924,0.0,137.0,148,137,0.0,134.0,134,134,131,1,130,140
20,7489451_1056-2158,1,0.9954999999999999,0.0,220.0,220,220,0.0,220.0,220,220,220,1,219,220
21,7463933_2430-3517,1,0.9778,45.0,0.0,45,45,0.0,45.0,45,45,45,1,44,45
22,7488060_6839-7920,1,1.0,62.0,0.0,62,62,1.0,63.0,63,62,62,0,62,62
23,7456338_2633-3688,1,1.0,0.0,52.0,52,52,0.0,52.0,52,52,52,0,52,52
24,7375988_3375-4646,1,0.9834999999999999,182.0,0.0,182,182,0.0,182.0,182,182,182,3,179,182
25,7402608_2946-4000,1,0.9129999999999999,47.0,1.0,47,46,0.0,46.0,55,46,46,4,42,46
26,7395781_7624-8678,1,1.0,0.0,126.0,126,126,0.0,126.0,126,126,126,0,126,126
27,7462276_30232-31257,1,1.0,36.0,0.0,36,36,0.0,36.0,36,36,36,0,36,36
28,7246725_6866-8044,1,1.0,168.0,0.0,170,168,0.0,164.0,164,164,164,0,164,168
29,7265947_10797-11824,1,1.0,0.0,48.0,48,48,0.0,48.0,50,48,48,0,48,48
30,7407261_653-1725,1,0.0,,,0,0,,,0,0,0,0,0,0
31,7493640_15426-16470,1,0.973,0.0,37.0,37,37,0.0,37.0,37,37,37,1,36,37
32,7467898_5378-6409,1,1.0,0.0,39.0,39,39,0.0,39.0,40,39,39,0,39,39
33,7460332_2635-3658,1,0.0,,,0,0,,,0,0,0,0,0,0
34,7334773_336-1379,1,1.0,61.0,0.0,61,61,2.0,63.0,63,61,61,0,61,61
35,7455115_16013-17108,1,1.0,0.0,101.0,101,101,0.0,101.0,101,101,101,0,101,101
36,7403155_7696-8802,1,1.0,33.0,0.0,33,33,0.0,33.0,33,33,33,0,33,33
37,7372962_17022-18097,1,0.991,0.0,111.0,111,111,0.0,111.0,111,111,111,1,110,111
38,7241968_7740-8891,1,0.9841,0.0,189.0,189,189,0.0,189.0,272,189,189,3,186,189
39,7421481_2172-3192,1,0.0,,,0,0,,,0,0,0,0,0,0
40,7499763_723-1774,1,0.9836,0.0,61.0,61,61,0.0,61.0,61,61,61,1,60,61
41,7252800_1558-2628,1,0.9861,72.0,0.0,72,72,0.0,72.0,72,72,72,1,71,72
42,7245900_80470-81509,1,1.0,0.0,49.0,49,49,0.0,49.0,49,49,49,0,49,49
43,7381292_1224-2295,1,1.0,82.0,0.0,82,82,10.0,92.0,92,82,82,0,82,82
44,7384983_6838-7924,1,0.9904000000000001,104.0,0.0,104,104,0.0,104.0,104,104,104,1,103,104
45,7322183_1135-2221,1,0.9854999999999999,138.0,0.0,138,138,0.0,138.0,188,138,138,2,136,138
46,7331585_9764-10799,1,1.0,0.0,30.0,30,30,0.0,30.0,30,30,30,0,30,30
47,7288829_27685-28836,1,1.0,0.0,151.0,151,151,0.0,151.0,151,151,151,0,151,151
48,7444753_11978-13093,1,1.0,1.0,105.0,105,104,0.0,104.0,104,104,104,0,104,104
49,7384856_10905-11998,1,0.9818000000000001,1.0,56.0,56,55,1.0,56.0,56,55,55,1,54,55
50,7270322_436-1461,1,0.0,,,0,0,,,0,0,0,0,0,0
51,7440484_4914-5991,1,0.9884999999999999,87.0,0.0,87,87,0.0,87.0,87,87,87,1,86,87
52,7397061_1295-2390,1,0.9887999999999999,0.0,89.0,89,89,0.0,89.0,89,89,89,1,88,89
53,7293055_3703-4758,1,1.0,72.0,3.0,73,69,1.0,70.0,72,69,69,0,69,69
54,7363858_3390-4493,1,1.0,63.0,0.0,63,63,0.0,63.0,63,63,63,0,63,63
55,7371519_11874-12975,1,0.9917,0.0,121.0,121,121,0.0,121.0,122,121,121,1,120,121
56,7289212_765-1960,1,0.9481,405.0,0.0,405,405,22.0,427.0,449,405,405,21,384,405
57,7505127_20226-21276,1,0.9623,0.0,53.0,53,53,0.0,53.0,53,53,53,2,51,53
58,7457179_1660-2705,1,1.0,51.0,0.0,51,51,0.0,51.0,51,51,51,0,51,51
59,7482878_10032-11082,1,0.0,,,0,0,,,0,0,0,0,0,0
60,7391926_14173-15212,1,0.0,,,0,0,,,0,0,0,0,0,0
61,7441448_3936-5111,1,1.0,157.0,0.0,157,157,0.0,157.0,157,157,157,0,157,157
62,7502799_17020-18080,1,0.9787,47.0,0.0,47,47,0.0,47.0,47,47,47,1,46,47
63,7426618_9242-10340,1,0.9856999999999999,0.0,70.0,71,70,5.0,75.0,76,70,70,1,69,70
64,7271182_8467-9491,1,0.9815,54.0,0.0,54,54,0.0,54.0,54,54,54,1,53,54
65,7501737_51953-52977,1,0.0,,,0,0,,,0,0,0,0,0,0
66,7455687_18102-19132,1,0.9787,47.0,0.0,47,47,0.0,47.0,47,47,47,1,46,47
67,7299136_23707-24754,1,0.9767,43.0,0.0,43,43,0.0,43.0,43,43,43,1,42,43
68,7282255_1430-2488,1,1.0,0.0,63.0,63,63,0.0,63.0,63,63,63,0,63,63
69,7454884_35735-36802,1,1.0,1.0,64.0,64,63,0.0,63.0,73,63,63,0,63,63
70,7492172_6098-7217,1,0.9903,0.0,103.0,103,103,12.0,115.0,115,103,103,1,102,103
71,7464407_13269-14396,1,0.9922,0.0,128.0,128,128,0.0,128.0,131,128,128,1,127,128
72,7265687_6579-7607,1,1.0,0.0,147.0,147,147,0.0,147.0,147,147,147,0,147,147
73,7278244_1985-3009,1,0.9876999999999999,0.0,81.0,81,81,0.0,81.0,81,81,81,1,80,81
74,7430170_22434-23459,1,1.0,104.0,0.0,104,104,0.0,104.0,104,104,104,0,104,104
75,7426243_1606-2734,1,0.9842,0.0,190.0,190,190,0.0,195.0,195,195,190,3,187,195
76,7338074_130-1225,1,1.0,0.0,109.0,109,109,0.0,109.0,109,109,109,0,109,109
77,7445260_306-1360,1,1.0,90.0,0.0,90,90,0.0,90.0,90,90,90,0,90,90
78,7500244_1857-2935,1,1.0,55.0,0.0,55,55,0.0,55.0,55,55,55,0,55,55
79,7492952_10678-11721,1,1.0,0.0,45.0,45,45,0.0,45.0,57,45,45,0,45,45
80,7270242_2584-3730,1,1.0,0.0,131.0,131,131,36.0,167.0,167,131,131,0,131,131
81,7471889_698-1727,1,1.0,67.0,0.0,67,67,0.0,63.0,63,63,63,0,63,67
82,7440652_8803-9842,1,0.9811,53.0,0.0,53,53,0.0,53.0,53,53,53,1,52,53
83,7296785_180-1260,1,1.0,0.0,80.0,83,80,0.0,80.0,80,80,80,0,80,80
84,7378778_2377-3430,1,0.9831,2.0,61.0,61,59,0.0,59.0,59,59,59,1,58,59
85,7378226_8094-9129,1,1.0,0.0,32.0,32,32,0.0,32.0,32,32,32,0,32,32
86,7418288_1581-2764,1,0.9961,0.0,256.0,256,256,0.0,262.0,262,262,256,1,255,262
87,7496869_1555-2605,1,0.0,,,0,0,,,0,0,0,0,0,0
88,7502552_2517-3585,1,1.0,150.0,0.0,150,150,0.0,150.0,150,150,150,0,150,150
89,7464649_16335-17395,1,0.9848,66.0,0.0,66,66,0.0,66.0,66,66,66,1,65,66
90,7410353_9932-11032,1,0.9899,0.0,99.0,99,99,0.0,99.0,99,99,99,1,98,99
91,7402327_3571-4628,1,1.0,0.0,95.0,95,95,0.0,95.0,95,95,95,0,95,95
