,gap_id,is_fixed,percent_identity,query_start,query_end,query_length,query_alignment_length,target_start,target_end,target_length,target_alignment_length,total_bases_compared,mismatches,matches,total_length
0,7281993_379-1447,1,1.0,242.0,301.0,537,59,59.0,0.0,59,59,59,0,59,59
1,7384969_12219-13277,1,1.0,213.0,235.0,482,22,0.0,22.0,22,22,22,0,22,22
2,7352536_65-1087,1,1.0,219.0,258.0,543,39,0.0,39.0,39,39,39,0,39,39
3,7381106_6862-7882,1,1.0,162.0,225.0,473,63,0.0,63.0,63,63,63,0,63,63
4,7281310_5428-6449,1,0.9538,150.0,215.0,262,65,0.0,65.0,65,65,65,3,62,65
5,7506472_41193-42287,1,1.0,207.0,277.0,528,70,70.0,0.0,70,70,70,0,70,70
6,7406941_4180-5320,1,0.8908,4.0,241.0,860,237,234.0,1.0,235,233,229,25,204,241
7,7388718_5171-6216,1,1.0,243.0,306.0,558,63,1.0,64.0,64,63,63,0,63,63
8,7456676_1705-2871,1,1.0,142.0,300.0,457,158,158.0,0.0,158,158,158,0,158,158
9,7489502_3397-4423,1,1.0,220.0,275.0,518,55,56.0,1.0,56,55,55,0,55,55
10,7325484_412-1532,1,1.0,0.0,110.0,356,110,110.0,0.0,128,110,110,0,110,110
11,7239103_8011-9061,1,0.9483,122.0,244.0,490,122,1.0,120.0,120,119,116,6,110,125
12,7260937_2945-4093,1,1.0,248.0,404.0,743,156,0.0,156.0,156,156,156,0,156,156
13,7281125_3571-4631,1,0.0,,,0,0,,,0,0,0,0,0,0
14,7469502_7937-8971,1,0.0,,,0,0,,,0,0,0,0,0,0
15,7473884_3650-4715,1,1.0,245.0,298.0,535,53,1.0,54.0,54,53,53,0,53,53
16,7490479_3575-4649,1,1.0,244.0,278.0,310,34,1.0,35.0,35,34,34,0,34,34
17,7456470_7692-8866,1,0.9924,183.0,320.0,571,137,0.0,134.0,134,134,131,1,130,140
18,7489451_1056-2158,1,0.8995000000000001,203.0,422.0,494,219,1.0,220.0,220,219,219,22,197,219
19,7463933_2430-3517,1,0.9778,233.0,278.0,483,45,45.0,0.0,45,45,45,1,44,45
20,7488060_6839-7920,1,1.0,204.0,267.0,569,63,63.0,0.0,63,63,63,0,63,63
21,7456338_2633-3688,1,0.8845999999999999,251.0,303.0,328,52,52.0,0.0,52,52,52,6,46,52
22,7375988_3375-4646,1,0.9945,227.0,409.0,572,182,182.0,0.0,182,182,182,1,181,182
23,7402608_2946-4000,1,0.9259000000000001,40.0,94.0,143,54,55.0,1.0,55,54,54,4,50,54
24,7395781_7624-8678,1,1.0,244.0,370.0,617,126,0.0,126.0,126,126,126,0,126,126
25,7462276_30232-31257,1,1.0,106.0,142.0,534,36,36.0,0.0,36,36,36,0,36,36
26,7246725_6866-8044,1,0.0,,,0,0,,,0,0,0,0,0,0
27,7265947_10797-11824,1,1.0,2.0,51.0,287,49,1.0,50.0,50,49,49,0,49,49
28,7493640_15426-16470,1,1.0,249.0,286.0,539,37,0.0,37.0,37,37,37,0,37,37
29,7467898_5378-6409,1,1.0,203.0,243.0,497,40,0.0,40.0,40,40,40,0,40,40
30,7460332_2635-3658,1,0.0,,,0,0,,,0,0,0,0,0,0
31,7334773_336-1379,1,1.0,237.0,300.0,546,63,63.0,0.0,63,63,63,0,63,63
32,7455115_16013-17108,1,0.9208,212.0,313.0,681,101,0.0,101.0,101,101,101,8,93,101
33,7403155_7696-8802,1,1.0,459.0,492.0,801,33,33.0,0.0,33,33,33,0,33,33
34,7372962_17022-18097,1,1.0,181.0,292.0,536,111,0.0,111.0,111,111,111,0,111,111
35,7241968_7740-8891,1,0.96,1145.0,1395.0,1785,250,19.0,271.0,272,252,250,10,240,252
36,7421481_2172-3192,1,0.0,,,0,0,,,0,0,0,0,0,0
37,7499763_723-1774,1,1.0,234.0,295.0,521,61,0.0,61.0,61,61,61,0,61,61
38,7252800_1558-2628,1,1.0,225.0,296.0,639,71,71.0,0.0,72,71,71,0,71,71
39,7245900_80470-81509,1,1.0,232.0,281.0,533,49,0.0,49.0,49,49,49,0,49,49
40,7381292_1224-2295,1,0.7968999999999999,124.0,189.0,327,65,91.0,27.0,92,64,64,13,51,65
41,7483485_35336-36413,1,1.0,189.0,263.0,430,74,74.0,0.0,74,74,74,0,74,74
42,7384983_6838-7924,1,1.0,229.0,332.0,555,103,103.0,0.0,104,103,103,0,103,103
43,7322183_1135-2221,1,0.9676,85.0,270.0,636,185,186.0,1.0,188,185,185,6,179,185
44,7331585_9764-10799,1,1.0,174.0,203.0,411,29,0.0,29.0,30,29,29,0,29,29
45,7288829_27685-28836,1,0.8438,161.0,291.0,485,130,23.0,151.0,151,128,128,20,108,130
